age,education,marital.status,relationship,race,sex,hoursperweek,nativecountry,income
28,Some-college,Divorced,Unmarried,Black,Female,25,United-States,<=50K
30,HS-grad,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,35,,<=50K
34,Bachelors,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
29,Some-college,Never-married,Not-in-family,White,Male,50,United-States,<=50K
48,Doctorate,Married-civ-spouse,Husband,White,Male,60,United-States,>50K
37,Some-college,Married-civ-spouse,Husband,White,Male,48,United-States,>50K
48,Assoc-acdm,Divorced,Unmarried,White,Female,40,England,<=50K
32,HS-grad,Never-married,Own-child,Black,Male,40,United-States,<=50K
76,Masters,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
44,Bachelors,Married-civ-spouse,Husband,White,Male,60,United-States,>50K
47,Masters,Never-married,Not-in-family,White,Female,50,United-States,<=50K
20,Some-college,Never-married,Own-child,White,Female,40,United-States,<=50K
29,HS-grad,Never-married,Not-in-family,White,Male,40,United-States,<=50K
32,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
17,10th,Never-married,Own-child,White,Female,32,United-States,<=50K
30,11th,Never-married,Own-child,White,Male,40,United-States,<=50K
31,HS-grad,Never-married,Not-in-family,White,Female,40,United-States,<=50K
42,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
24,Bachelors,Never-married,Other-relative,White,Male,40,United-States,<=50K
38,Prof-school,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
56,HS-grad,Married-civ-spouse,Husband,White,Male,50,Canada,>50K
28,Some-college,Married-civ-spouse,Wife,White,Female,25,United-States,<=50K
36,HS-grad,Never-married,Own-child,White,Female,40,United-States,<=50K
53,9th,Married-civ-spouse,Husband,White,Male,50,United-States,<=50K
56,Some-college,Married-civ-spouse,Husband,White,Male,50,United-States,<=50K
49,Assoc-voc,Married-civ-spouse,Husband,Black,Male,40,United-States,>50K
55,Some-college,Married-civ-spouse,Husband,White,Male,56,United-States,<=50K
22,HS-grad,Never-married,Not-in-family,White,Male,41,United-States,<=50K
21,Some-college,Never-married,Own-child,White,Female,40,United-States,<=50K
40,Bachelors,Married-civ-spouse,Husband,White,Male,60,United-States,<=50K
30,Bachelors,Never-married,Own-child,Black,Male,40,Germany,<=50K
29,Bachelors,Married-civ-spouse,Husband,White,Male,50,United-States,>50K
19,Some-college,Never-married,Own-child,Black,Male,35,United-States,<=50K
47,Bachelors,Married-civ-spouse,Wife,White,Female,40,United-States,>50K
20,Some-college,Never-married,Own-child,White,Female,28,United-States,<=50K
31,Assoc-acdm,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
35,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
39,Some-college,Divorced,Not-in-family,White,Male,40,United-States,<=50K
28,Assoc-acdm,Never-married,Not-in-family,White,Female,60,United-States,<=50K
24,HS-grad,Never-married,Not-in-family,White,Female,40,United-States,<=50K
38,HS-grad,Married-civ-spouse,Husband,White,Male,35,United-States,<=50K
37,Bachelors,Married-civ-spouse,Husband,White,Male,50,United-States,<=50K
46,Assoc-acdm,Divorced,Not-in-family,Black,Female,36,United-States,<=50K
38,Masters,Married-civ-spouse,Husband,White,Male,40,Iran,>50K
43,HS-grad,Married-civ-spouse,Husband,White,Male,60,United-States,<=50K
27,Assoc-voc,Married-civ-spouse,Wife,White,Female,35,United-States,<=50K
20,Some-college,Never-married,Own-child,White,Male,20,United-States,<=50K
49,Some-college,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,United-States,>50K
61,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
27,Some-college,Never-married,Own-child,White,Female,40,United-States,<=50K
19,Some-college,Never-married,Own-child,White,Male,30,Mexico,<=50K
45,Assoc-voc,Never-married,Not-in-family,White,Female,40,United-States,>50K
70,Some-college,Never-married,Other-relative,White,Male,40,United-States,<=50K
31,HS-grad,Never-married,Unmarried,Black,Female,30,United-States,<=50K
22,Some-college,Married-civ-spouse,Husband,White,Male,24,United-States,<=50K
36,HS-grad,Widowed,Unmarried,White,Female,24,United-States,<=50K
64,11th,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
43,Some-college,Divorced,Not-in-family,White,Female,40,United-States,<=50K
47,Some-college,Divorced,Unmarried,White,Female,38,Mexico,<=50K
34,HS-grad,Never-married,Not-in-family,White,Female,40,United-States,<=50K
33,Bachelors,Never-married,Other-relative,Asian-Pac-Islander,Female,40,Philippines,<=50K
21,HS-grad,Never-married,Own-child,White,Male,35,United-States,<=50K
52,HS-grad,Divorced,Not-in-family,White,Male,45,United-States,>50K
48,HS-grad,Married-civ-spouse,Husband,White,Male,46,United-States,<=50K
23,Bachelors,Never-married,Not-in-family,White,Male,40,United-States,<=50K
71,Some-college,Separated,Unmarried,Black,Male,2,United-States,<=50K
29,HS-grad,Divorced,Not-in-family,White,Male,60,United-States,<=50K
42,Bachelors,Separated,Other-relative,Black,Male,50,United-States,<=50K
68,1st-4th,Divorced,Not-in-family,White,Female,20,United-States,<=50K
25,HS-grad,Never-married,Unmarried,White,Female,40,United-States,<=50K
44,Masters,Divorced,Unmarried,Asian-Pac-Islander,Female,40,United-States,<=50K
28,HS-grad,Never-married,Not-in-family,Asian-Pac-Islander,Female,40,England,<=50K
45,Masters,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
36,Some-college,Divorced,Unmarried,White,Female,40,Mexico,<=50K
39,Assoc-acdm,Never-married,Not-in-family,White,Male,42,United-States,<=50K
46,Masters,Widowed,Unmarried,White,Male,40,United-States,<=50K
18,11th,Never-married,Own-child,White,Male,16,United-States,<=50K
66,Assoc-voc,Widowed,Not-in-family,White,Female,20,United-States,<=50K
27,HS-grad,Never-married,Not-in-family,White,Male,40,United-States,<=50K
28,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
51,Some-college,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
27,Bachelors,Never-married,Not-in-family,White,Male,50,United-States,<=50K
28,Bachelors,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
27,HS-grad,Married-spouse-absent,Unmarried,White,Female,25,United-States,<=50K
21,HS-grad,Never-married,Own-child,Black,Male,40,United-States,<=50K
34,HS-grad,Never-married,Not-in-family,Black,Male,40,United-States,<=50K
18,HS-grad,Never-married,Own-child,White,Male,12,United-States,<=50K
33,Bachelors,Married-civ-spouse,Husband,White,Male,65,United-States,<=50K
44,Some-college,Married-civ-spouse,Husband,Black,Male,38,United-States,>50K
43,Some-college,Divorced,Not-in-family,White,Female,40,United-States,<=50K
30,Some-college,Never-married,Not-in-family,Black,Male,45,United-States,<=50K
40,7th-8th,Married-civ-spouse,Husband,White,Male,40,Mexico,>50K
37,Some-college,Married-civ-spouse,Husband,White,Male,42,United-States,>50K
34,HS-grad,Married-civ-spouse,Husband,Black,Male,40,United-States,<=50K
41,Bachelors,Divorced,Not-in-family,White,Female,40,United-States,<=50K
53,Bachelors,Divorced,Not-in-family,White,Female,50,United-States,<=50K
31,Masters,Married-civ-spouse,Wife,White,Female,50,United-States,<=50K
58,Doctorate,Married-civ-spouse,Husband,White,Male,1,United-States,>50K
38,Some-college,Divorced,Not-in-family,Black,Female,28,United-States,<=50K
24,Some-college,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
41,Bachelors,Married-civ-spouse,Husband,Black,Male,40,United-States,<=50K
47,Some-college,Married-civ-spouse,Husband,White,Male,45,United-States,<=50K
41,Bachelors,Married-civ-spouse,Husband,White,Male,24,United-States,<=50K
23,5th-6th,Married-civ-spouse,Other-relative,White,Male,40,Mexico,<=50K
36,Some-college,Divorced,Not-in-family,White,Male,40,United-States,<=50K
40,Masters,Never-married,Not-in-family,White,Female,55,United-States,>50K
35,Masters,Married-civ-spouse,Other-relative,White,Male,40,United-States,>50K
24,HS-grad,Never-married,Not-in-family,White,Male,40,United-States,<=50K
26,Masters,Never-married,Not-in-family,White,Female,40,United-States,<=50K
19,HS-grad,Never-married,Own-child,White,Male,40,Italy,<=50K
51,Bachelors,Married-civ-spouse,Husband,White,Male,50,United-States,>50K
42,Some-college,Never-married,Not-in-family,White,Female,40,United-States,<=50K
37,HS-grad,Divorced,Unmarried,White,Female,35,United-States,<=50K
18,11th,Never-married,Own-child,White,Female,40,United-States,<=50K
36,Bachelors,Married-civ-spouse,Husband,Black,Male,36,United-States,>50K
35,HS-grad,Divorced,Not-in-family,White,Male,60,United-States,<=50K
58,HS-grad,Married-civ-spouse,Wife,White,Female,35,United-States,>50K
17,11th,Never-married,Own-child,White,Female,12,United-States,<=50K
44,HS-grad,Married-civ-spouse,Husband,Black,Male,40,United-States,<=50K
37,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
35,Some-college,Never-married,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,<=50K
60,HS-grad,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,United-States,<=50K
54,7th-8th,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
37,Bachelors,Never-married,Not-in-family,Black,Male,60,United-States,>50K
50,Assoc-acdm,Divorced,Not-in-family,White,Female,40,United-States,<=50K
38,Bachelors,Married-civ-spouse,Husband,White,Male,50,Poland,<=50K
45,Bachelors,Married-civ-spouse,Husband,White,Male,55,United-States,<=50K
25,10th,Never-married,Not-in-family,White,Male,40,United-States,<=50K
31,Some-college,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
64,1st-4th,Divorced,Not-in-family,White,Male,40,United-States,<=50K
90,HS-grad,Never-married,Not-in-family,Black,Male,40,United-States,<=50K
54,HS-grad,Married-civ-spouse,Husband,Black,Male,20,United-States,<=50K
53,Preschool,Never-married,Not-in-family,White,Female,35,United-States,<=50K
18,HS-grad,Never-married,Own-child,White,Female,40,United-States,<=50K
60,10th,Divorced,Not-in-family,Amer-Indian-Eskimo,Female,10,United-States,<=50K
66,HS-grad,Married-civ-spouse,Husband,White,Male,50,United-States,<=50K
75,Assoc-voc,Widowed,Not-in-family,White,Female,20,Columbia,<=50K
65,HS-grad,Divorced,Not-in-family,White,Female,40,United-States,<=50K
35,11th,Separated,Not-in-family,Black,Male,40,United-States,<=50K
41,HS-grad,Divorced,Unmarried,Black,Female,38,United-States,<=50K
25,Some-college,Never-married,Not-in-family,White,Male,42,United-States,<=50K
33,Some-college,Divorced,Other-relative,Other,Female,40,United-States,<=50K
28,Prof-school,Never-married,Not-in-family,White,Male,55,United-States,>50K
59,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
40,Some-college,Never-married,Not-in-family,White,Female,38,United-States,<=50K
41,Bachelors,Married-civ-spouse,Husband,White,Male,50,Iran,>50K
38,Masters,Married-civ-spouse,Husband,White,Male,70,United-States,>50K
23,HS-grad,Never-married,Own-child,White,Male,40,United-States,<=50K
40,Bachelors,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
41,HS-grad,Married-civ-spouse,Wife,White,Female,20,United-States,<=50K
24,Assoc-acdm,Married-civ-spouse,Husband,White,Male,50,United-States,<=50K
20,Some-college,Never-married,Own-child,White,Male,20,United-States,<=50K
38,Some-college,Divorced,Not-in-family,White,Male,40,United-States,<=50K
56,HS-grad,Married-civ-spouse,Husband,White,Male,35,,<=50K
58,HS-grad,Married-civ-spouse,Husband,White,Male,45,United-States,>50K
32,HS-grad,Never-married,Not-in-family,White,Female,34,United-States,<=50K
40,Assoc-acdm,Married-civ-spouse,Husband,White,Male,60,United-States,>50K
45,HS-grad,Married-civ-spouse,Husband,White,Male,40,,<=50K
41,Prof-school,Married-civ-spouse,Wife,White,Female,40,United-States,>50K
42,Bachelors,Married-civ-spouse,Wife,Black,Female,40,United-States,<=50K
59,10th,Widowed,Unmarried,Black,Female,30,United-States,<=50K
19,Some-college,Never-married,Own-child,White,Male,40,United-States,<=50K
58,Some-college,Never-married,Not-in-family,White,Male,20,United-States,<=50K
42,HS-grad,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,Cambodia,>50K
20,HS-grad,Never-married,Own-child,White,Female,40,United-States,<=50K
32,HS-grad,Separated,Not-in-family,White,Female,30,United-States,<=50K
45,Assoc-voc,Widowed,Not-in-family,White,Female,45,United-States,<=50K
50,7th-8th,Divorced,Not-in-family,White,Male,40,United-States,<=50K
36,Bachelors,Divorced,Own-child,White,Female,40,United-States,<=50K
45,HS-grad,Married-civ-spouse,Husband,White,Male,60,United-States,<=50K
17,11th,Never-married,Own-child,White,Male,12,United-States,<=50K
59,Some-college,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
26,11th,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
37,Some-college,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,75,Thailand,>50K
19,Some-college,Never-married,Own-child,White,Male,24,Canada,<=50K
64,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
33,Bachelors,Never-married,Not-in-family,White,Female,45,United-States,<=50K
33,HS-grad,Married-civ-spouse,Wife,White,Female,40,United-States,>50K
61,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
17,9th,Never-married,Own-child,White,Male,24,United-States,<=50K
50,Masters,Married-civ-spouse,Husband,White,Male,98,United-States,<=50K
27,Masters,Never-married,Own-child,White,Male,35,United-States,<=50K
30,HS-grad,Divorced,Own-child,White,Female,40,United-States,<=50K
43,HS-grad,Married-civ-spouse,Husband,Black,Male,40,United-States,<=50K
44,Some-college,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
35,Some-college,Never-married,Not-in-family,White,Female,40,United-States,<=50K
25,Some-college,Never-married,Own-child,White,Female,40,United-States,<=50K
24,Some-college,Married-civ-spouse,Wife,White,Female,48,United-States,>50K
22,Bachelors,Never-married,Not-in-family,White,Female,15,Germany,<=50K
42,Some-college,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
34,Assoc-acdm,Divorced,Unmarried,Black,Female,45,United-States,<=50K
60,Bachelors,Divorced,Not-in-family,White,Female,42,United-States,<=50K
21,HS-grad,Never-married,Own-child,White,Male,40,United-States,<=50K
57,Masters,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
41,Prof-school,Married-civ-spouse,Husband,White,Male,60,United-States,>50K
50,Some-college,Divorced,Not-in-family,White,Male,45,United-States,<=50K
25,Bachelors,Never-married,Not-in-family,White,Female,40,United-States,<=50K
50,7th-8th,Married-civ-spouse,Husband,White,Male,40,Ecuador,<=50K
36,Bachelors,Married-civ-spouse,Husband,White,Male,45,United-States,<=50K
31,HS-grad,Divorced,Not-in-family,White,Female,40,United-States,<=50K
29,Bachelors,Never-married,Not-in-family,White,Male,56,United-States,<=50K
21,Some-college,Never-married,Own-child,White,Male,45,United-States,<=50K
27,Bachelors,Never-married,Unmarried,Black,Female,40,United-States,<=50K
65,HS-grad,Married-civ-spouse,Husband,White,Male,16,United-States,<=50K
37,Bachelors,Divorced,Not-in-family,White,Female,60,United-States,<=50K
39,Masters,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,40,,<=50K
24,HS-grad,Never-married,Own-child,White,Male,40,United-States,<=50K
38,HS-grad,Divorced,Not-in-family,White,Male,80,United-States,<=50K
48,Bachelors,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
21,Some-college,Never-married,Not-in-family,Asian-Pac-Islander,Female,25,United-States,<=50K
31,HS-grad,Married-civ-spouse,Husband,White,Male,45,United-States,>50K
55,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
24,Some-college,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,40,Laos,<=50K
43,HS-grad,Divorced,Not-in-family,White,Female,40,United-States,<=50K
26,Assoc-acdm,Never-married,Not-in-family,White,Male,45,United-States,<=50K
46,Assoc-acdm,Never-married,Not-in-family,White,Female,33,United-States,<=50K
35,Assoc-acdm,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
41,Some-college,Married-civ-spouse,Husband,White,Male,54,United-States,>50K
26,Bachelors,Never-married,Not-in-family,White,Male,40,United-States,<=50K
34,Masters,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,35,Taiwan,>50K
19,Some-college,Never-married,Own-child,Black,Female,25,United-States,<=50K
36,Bachelors,Divorced,Not-in-family,Black,Female,40,United-States,>50K
22,Some-college,Never-married,Own-child,White,Male,15,United-States,<=50K
24,Some-college,Never-married,Not-in-family,White,Male,40,United-States,<=50K
77,Some-college,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
22,5th-6th,Married-civ-spouse,Other-relative,White,Female,40,Mexico,<=50K
29,Some-college,Never-married,Not-in-family,White,Female,40,United-States,<=50K
62,HS-grad,Widowed,Not-in-family,White,Female,24,United-States,<=50K
39,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
43,Some-college,Married-civ-spouse,Husband,White,Male,50,United-States,<=50K
35,HS-grad,Divorced,Not-in-family,White,Male,45,United-States,<=50K
29,11th,Never-married,Not-in-family,White,Female,40,United-States,<=50K
76,Masters,Married-civ-spouse,Husband,White,Male,10,United-States,<=50K
63,HS-grad,Married-civ-spouse,Husband,White,Male,45,United-States,<=50K
23,Assoc-voc,Never-married,Own-child,Black,Female,15,United-States,<=50K
43,Some-college,Married-civ-spouse,Wife,White,Female,50,United-States,>50K
58,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
66,HS-grad,Never-married,Not-in-family,White,Male,55,United-States,<=50K
41,Some-college,Never-married,Not-in-family,Black,Male,45,United-States,<=50K
26,Bachelors,Never-married,Not-in-family,White,Male,40,United-States,<=50K
47,Assoc-voc,Never-married,Not-in-family,White,Male,40,United-States,<=50K
55,10th,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
53,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
17,5th-6th,Never-married,Other-relative,White,Male,48,Mexico,<=50K
30,HS-grad,Never-married,Other-relative,White,Male,40,United-States,<=50K
49,Masters,Never-married,Not-in-family,White,Male,60,United-States,<=50K
19,HS-grad,Never-married,Unmarried,Black,Male,30,Haiti,<=50K
45,HS-grad,Married-civ-spouse,Husband,Black,Male,40,United-States,<=50K
26,Assoc-acdm,Never-married,Not-in-family,White,Male,40,United-States,<=50K
38,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
36,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
33,HS-grad,Never-married,Not-in-family,White,Male,20,United-States,<=50K
22,Some-college,Never-married,Own-child,Black,Female,40,United-States,<=50K
43,Bachelors,Never-married,Not-in-family,White,Male,42,United-States,<=50K
67,11th,Married-civ-spouse,Husband,White,Male,8,United-States,<=50K
30,Assoc-voc,Divorced,Unmarried,White,Female,40,United-States,<=50K
56,Assoc-acdm,Married-spouse-absent,Not-in-family,White,Male,25,Iran,<=50K
31,Bachelors,Never-married,Own-child,White,Male,25,United-States,<=50K
33,Bachelors,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
26,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
33,Bachelors,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
46,11th,Married-civ-spouse,Husband,White,Male,30,United-States,<=50K
59,Bachelors,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
38,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
65,11th,Widowed,Unmarried,Other,Male,40,United-States,<=50K
40,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
42,HS-grad,Married-civ-spouse,Wife,White,Female,35,United-States,<=50K
26,9th,Married-civ-spouse,Husband,White,Male,40,Portugal,<=50K
36,10th,Married-civ-spouse,Wife,White,Female,24,United-States,<=50K
62,Masters,Married-civ-spouse,Husband,White,Male,40,United-States,>50K
43,Bachelors,Married-civ-spouse,Husband,White,Male,45,United-States,<=50K
43,Bachelors,Divorced,Not-in-family,White,Male,45,United-States,>50K
22,HS-grad,Married-spouse-absent,Not-in-family,White,Male,55,United-States,<=50K
28,HS-grad,Married-civ-spouse,Husband,White,Male,40,United-States,<=50K
56,Some-college,Married-civ-spouse,Husband,White,Male,45,United-States,<=50K
22,Assoc-acdm,Never-married,Not-in-family,White,Female,15,United-States,<=50K
57,Bachelors,Divorced,Not-in-family,White,Female,45,United-States,>50K
39,HS-grad,Divorced,Unmarried,White,Female,40,United-States,<=50K
26,Some-college,Never-married,Unmarried,White,Female,15,United-States,<=50K
17,11th,Never-married,Own-child,White,Male,10,United-States,<=50K
40,Assoc-voc,Married-civ-spouse,Husband,White,Male,38,United-States,>50K
45,HS-grad,Married-civ-spouse,Husband,Black,Male,40,United-States,<=50K
44,HS-grad,Never-married,Not-in-family,Black,Male,40,United-States,<=50K
20,Some-college,Never-married,Own-child,White,Female,10,United-States,<=50K
33,HS-grad,Married-civ-spouse,Wife,White,Female,40,United-States,<=50K
23,Some-college,Never-married,Not-in-family,White,Male,40,United-States,<=50K
46,Masters,Divorced,Not-in-family,White,Male,30,United-States,<=50K
